Player,Gls,Ast,xG,xA,Season
Gabriel Jesus,13,3,14.6,2.2,17/18
Vincent Kompany,1,1,1.1,0.7,17/18
John Stones,0,0,1.1,0,17/18
Bernardo Silva,6,4,4.2,2.2,17/18
İlkay Gündoğan,4,1,3.6,2.1,17/18
Danilo,3,2,1.1,0.2,17/18
Aymeric Laporte,0,0,0,0.1,17/18
Oleksandr Zinchenko,0,0,0.1,0.3,17/18
Eliaquim Mangala,0,0,0.2,0,17/18
Benjamin Mendy,0,1,0.1,0.7,17/18
Claudio Bravo,0,0,0,0,17/18
Yaya Touré,0,2,0.3,1.3,17/18
Brahim Díaz,0,0,0.4,0,17/18
Phil Foden,0,1,0,0.3,17/18
Lukas Nmecha,0,0,0,0,17/18
Ederson,0,1,0,0.3,18/19
Aymeric Laporte,3,3,2.2,0.9,18/19
Bernardo Silva,7,7,6.6,7.4,18/19
Raheem Sterling,17,9,13.8,9.2,18/19
Sergio Agüero,21,8,19.6,5.3,18/19
Kyle Walker,1,1,0.9,1.6,18/19
David Silva,6,8,7.2,9.4,18/19
Fernandinho,1,3,1.7,2.6,18/19
İlkay Gündoğan,6,3,3.5,4,18/19
Leroy Sané,10,10,5.6,6.6,18/19
John Stones,0,0,0.3,0.2,18/19
Riyad Mahrez,7,4,5.7,4.2,18/19
Nicolás Otamendi,0,0,1.3,0.2,18/19
Oleksandr Zinchenko,0,3,0.2,1.5,18/19
Vincent Kompany,1,0,0.2,0.1,18/19
Kevin De Bruyne,2,2,2.1,3.4,18/19
Benjamin Mendy,0,5,0.2,1.4,18/19
Danilo,1,0,0.5,0.3,18/19
Gabriel Jesus,7,3,9.4,1.7,18/19
Fabian Delph,0,1,0.1,0.3,18/19
Phil Foden,1,0,2.5,0.6,18/19
Ederson,0,0,0,0.1,19/20
Kevin De Bruyne,13,20,7.6,18.4,19/20
Raheem Sterling,20,1,17.1,7,19/20
Rodri,3,2,1,1.5,19/20
Kyle Walker,1,4,1,2.1,19/20
Fernandinho,0,1,1.1,0.5,19/20
Bernardo Silva,6,7,6.7,5.4,19/20
David Silva,6,10,6.3,5.4,19/20
Gabriel Jesus,14,7,18.5,3.8,19/20
İlkay Gündoğan,2,1,4.4,2.7,19/20
Riyad Mahrez,11,9,7.2,8.8,19/20
Nicolás Otamendi,2,0,2.4,0.2,19/20
Benjamin Mendy,0,2,0.3,1.3,19/20
Sergio Agüero,16,3,14,2.4,19/20
Aymeric Laporte,1,0,0.3,0.1,19/20
Oleksandr Zinchenko,0,0,0.4,1.6,19/20
João Cancelo,0,0,0.5,1.7,19/20
John Stones,0,0,0.6,0.1,19/20
Phil Foden,5,2,4.3,2,19/20
Eric García,0,0,0.5,0.1,19/20
Angeliño,0,0,0.2,1.2,19/20
Claudio Bravo,0,0,0,0,19/20
Thomas Doyle,0,0,0.1,0,19/20
Leroy Sané,0,0,0.1,0,19/20
Ederson,0,1,0,0.4,20/21
Rúben Dias,1,0,2.4,0.1,20/21
Rodri,2,2,2.5,1.7,20/21
Raheem Sterling,10,7,12.2,4.8,20/21
João Cancelo,2,3,2,4.9,20/21
Bernardo Silva,2,6,2.8,3.7,20/21
İlkay Gündoğan,13,2,9,4.5,20/21
Kevin De Bruyne,6,12,9.7,10.2,20/21
Riyad Mahrez,9,6,5.6,5.9,20/21
Gabriel Jesus,9,4,8.8,3.4,20/21
Kyle Walker,1,1,0.2,0.5,20/21
John Stones,4,0,2.2,0.1,20/21
Phil Foden,9,5,5.5,4.1,20/21
Oleksandr Zinchenko,0,0,0.7,1.3,20/21
Ferrán Torres,7,2,5.4,1.9,20/21
Aymeric Laporte,0,0,0.8,0.7,20/21
Fernandinho,0,2,0.8,0.9,20/21
Benjamin Mendy,2,1,0.4,0.4,20/21
Nathan Aké,1,0,0.1,0,20/21
Sergio Agüero,4,1,3.4,1.3,20/21
Eric García,0,0,0.1,0.1,20/21
Scott Carson,0,0,0,0,20/21
Zack Steffen,0,0,0,0,20/21
Liam Delap,0,0,0,0,20/21
David de Gea,0,0,0,0.1,17/18
Nemanja Matić,1,1,0.7,1.9,17/18
Romelu Lukaku,16,7,15.2,5,17/18
Antonio Valencia,3,1,0.6,1.7,17/18
Chris Smalling,4,0,2.6,0.5,17/18
Ashley Young,2,4,0.7,3.8,17/18
Paul Pogba,6,10,6.6,4.5,17/18
Phil Jones,0,0,0.4,0,17/18
